,ClearanceName,ClearanceClub,ClearanceNationality,ClearanceStat
0,Ethan Pinnock,Brentford,Jamaica,57
1,Kurt Zouma,West Ham United,France,52
2,Joachim Andersen,Crystal Palace,Denmark,46
3,Willy-Arnaud Boly,Nottingham Forest,Cote Dâ€™Ivoire,40
4,Thiago Silva,Chelsea,Brazil,40
5,John Egan,Sheffield United,Ireland,39
6,Maximilian Kilman,Wolverhampton Wanderers,England,39
7,Craig Dawson,Wolverhampton Wanderers,England,36
8,Issa Diop,Fulham,France,36
9,Cristian Romero,Tottenham Hotspur,Argentina,35
